src_ip,dst_ip,protocol,timestamp,src_port,dst_port,protocol_type
52.37.252.164,192.168.0.123,6,1722603895.437928,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603895.438524,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.823686,443.0,53044.0,TCP
192.168.0.123,185.199.111.133,6,1722603896.746242,53104.0,443.0,TCP
185.199.111.133,192.168.0.123,6,1722603896.785549,443.0,53104.0,TCP
192.168.0.123,35.186.224.24,6,1722603897.466430,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603897.505907,443.0,52625.0,TCP
192.168.0.123,35.186.224.40,6,1722603903.266349,52635.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603903.306468,443.0,52635.0,TCP
35.186.224.40,192.168.0.123,6,1722603903.415742,443.0,52635.0,TCP
192.168.0.123,35.186.224.40,6,1722603903.468566,52635.0,443.0,TCP
192.168.0.123,35.186.224.24,6,1722603906.547191,53141.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603906.589697,443.0,53141.0,TCP
192.168.0.123,142.250.192.1,6,1722603907.246531,53142.0,443.0,TCP
142.250.192.1,192.168.0.123,6,1722603907.290222,443.0,53142.0,TCP
192.168.0.123,35.186.224.24,6,1722603908.946986,53143.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603908.992333,443.0,53143.0,TCP
192.168.0.123,199.232.214.248,6,1722603909.056505,53126.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722603909.133317,53145.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722603909.133569,53144.0,443.0,TCP
199.232.214.248,192.168.0.123,6,1722603909.139917,443.0,53126.0,TCP
199.232.210.248,192.168.0.123,6,1722603909.205183,443.0,53144.0,TCP
199.232.210.248,192.168.0.123,6,1722603909.206114,443.0,53145.0,TCP
192.168.0.1,239.255.255.250,17,1722603909.380139,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380139,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603909.380295,48219.0,1900.0,UDP
104.199.240.237,192.168.0.123,6,1722603909.548603,4070.0,52429.0,TCP
192.168.0.123,104.199.240.237,6,1722603909.600909,52429.0,4070.0,TCP
192.168.0.145,239.255.255.250,17,1722603910.216617,44515.0,1900.0,UDP
192.168.0.145,239.255.255.250,17,1722603910.221373,44515.0,1900.0,UDP
192.168.0.123,35.186.224.22,6,1722603911.457972,52569.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603911.620223,443.0,52569.0,TCP
192.168.0.123,239.255.255.250,17,1722603912.543256,54137.0,1900.0,UDP
192.168.0.123,192.168.0.255,17,1722603913.002297,57621.0,57621.0,UDP
192.168.0.123,239.255.255.250,17,1722603913.546328,54137.0,1900.0,UDP
192.168.0.123,239.255.255.250,17,1722603914.550040,54137.0,1900.0,UDP
192.168.0.123,239.255.255.250,17,1722603915.558119,54137.0,1900.0,UDP
192.168.0.123,20.50.88.234,6,1722603918.971085,53139.0,443.0,TCP
20.50.88.234,192.168.0.123,6,1722603919.192415,443.0,53139.0,TCP
192.168.0.123,20.50.88.234,6,1722603919.192453,53139.0,443.0,TCP
192.168.0.123,142.250.183.164,17,1722603920.820208,50663.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603920.820261,50663.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603920.820349,50663.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603920.868100,443.0,50663.0,UDP
192.168.0.123,142.250.183.164,17,1722603920.972978,50663.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603920.974983,443.0,50663.0,UDP
142.250.183.164,192.168.0.123,17,1722603920.974983,443.0,50663.0,UDP
142.250.183.164,192.168.0.123,17,1722603920.975047,443.0,50663.0,UDP
142.250.183.164,192.168.0.123,17,1722603920.975047,443.0,50663.0,UDP
192.168.0.123,142.250.183.164,17,1722603920.975442,50663.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603920.975519,50663.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603921.008455,443.0,50663.0,UDP
142.250.183.164,192.168.0.123,17,1722603921.013872,443.0,50663.0,UDP
192.168.0.123,142.250.183.164,17,1722603921.014117,50663.0,443.0,UDP
192.168.0.123,192.168.0.1,17,1722603922.243201,57118.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603922.243311,63614.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603922.427583,58949.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603922.427770,60462.0,53.0,UDP
192.168.0.1,192.168.0.123,17,1722603922.522358,53.0,57118.0,UDP
192.168.0.1,192.168.0.123,17,1722603922.522358,53.0,63614.0,UDP
192.168.0.1,192.168.0.123,17,1722603922.522358,53.0,58949.0,UDP
192.168.0.1,192.168.0.123,17,1722603922.522358,53.0,60462.0,UDP
192.168.0.123,35.186.224.22,17,1722603922.523575,64965.0,443.0,UDP
192.168.0.123,35.186.224.22,17,1722603922.523637,64965.0,443.0,UDP
192.168.0.123,35.186.224.22,6,1722603922.523791,53094.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722603922.523822,53094.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722603922.523841,53094.0,443.0,TCP
192.168.1.1,239.255.255.250,17,1722603922.534215,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.534986,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.535792,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.536667,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.538688,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.538688,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.538822,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.543068,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603922.543068,1900.0,1900.0,UDP
35.186.224.22,192.168.0.123,6,1722603922.658816,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.658902,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.658977,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.659123,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,17,1722603922.659293,443.0,64965.0,UDP
192.168.0.123,35.186.224.22,6,1722603922.708732,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,17,1722603922.721544,443.0,64965.0,UDP
35.186.224.22,192.168.0.123,6,1722603922.721810,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.721933,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.721933,443.0,53094.0,TCP
192.168.0.123,35.186.224.22,6,1722603922.721951,53094.0,443.0,TCP
192.168.0.123,35.186.224.22,17,1722603922.722224,64965.0,443.0,UDP
192.168.0.123,35.186.224.22,6,1722603922.722774,53094.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722603922.722796,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603922.779524,443.0,53094.0,TCP
35.186.224.22,192.168.0.123,17,1722603922.779524,443.0,64965.0,UDP
35.186.224.22,192.168.0.123,17,1722603922.779524,443.0,64965.0,UDP
192.168.0.123,35.186.224.22,17,1722603922.779924,64965.0,443.0,UDP
192.168.0.123,35.186.224.22,17,1722603922.780020,64965.0,443.0,UDP
35.186.224.22,192.168.0.123,17,1722603922.798003,443.0,64965.0,UDP
192.168.0.123,35.186.224.40,6,1722603924.030842,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603924.105815,443.0,52427.0,TCP
35.186.224.40,192.168.0.123,6,1722603924.198229,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722603924.247283,52427.0,443.0,TCP
192.168.0.123,192.168.0.1,17,1722603925.449393,61833.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603925.449508,58506.0,53.0,UDP
192.168.0.123,52.37.252.164,6,1722603925.449701,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603925.449816,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603925.449838,53044.0,443.0,TCP
192.168.0.1,192.168.0.123,17,1722603925.515910,53.0,61833.0,UDP
192.168.0.1,192.168.0.123,17,1722603925.556511,53.0,58506.0,UDP
52.37.252.164,192.168.0.123,6,1722603925.863828,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603925.863828,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603925.863828,443.0,53044.0,TCP
192.168.0.1,224.0.0.1,2,1722603925.863828,,,
52.37.252.164,192.168.0.123,6,1722603925.863828,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603925.914863,53044.0,443.0,TCP
192.168.0.123,239.255.255.250,2,1722603926.272443,,,
192.168.0.1,239.255.255.250,2,1722603926.293622,,,
192.168.0.1,239.255.255.250,2,1722603927.210444,,,
192.168.0.1,224.0.0.252,2,1722603927.225870,,,
52.37.252.164,192.168.0.123,6,1722603930.107733,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603930.107777,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603930.107787,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603930.108586,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603930.425923,443.0,53044.0,TCP
192.168.0.1,224.0.0.2,2,1722603930.906045,,,
192.168.0.123,192.168.0.1,17,1722603931.542885,60584.0,53.0,UDP
192.168.0.1,192.168.0.123,17,1722603931.606362,53.0,60584.0,UDP
192.168.0.123,35.163.196.185,6,1722603931.606913,53153.0,443.0,TCP
192.168.0.123,35.163.196.185,6,1722603931.606913,53152.0,443.0,TCP
35.163.196.185,192.168.0.123,6,1722603931.935160,443.0,53152.0,TCP
35.163.196.185,192.168.0.123,6,1722603931.935160,443.0,53153.0,TCP
192.168.0.123,35.163.196.185,6,1722603931.935227,53152.0,443.0,TCP
